""	"original_label"	"label"
"1"	"tBodyAcc-mean()-X"	"tbodyaccmeanx"
"2"	"tBodyAcc-mean()-Y"	"tbodyaccmeany"
"3"	"tBodyAcc-mean()-Z"	"tbodyaccmeanz"
"4"	"tBodyAcc-std()-X"	"tbodyaccstdx"
"5"	"tBodyAcc-std()-Y"	"tbodyaccstdy"
"6"	"tBodyAcc-std()-Z"	"tbodyaccstdz"
"7"	"tBodyAcc-mad()-X"	"tbodyaccmadx"
"8"	"tBodyAcc-mad()-Y"	"tbodyaccmady"
"9"	"tBodyAcc-mad()-Z"	"tbodyaccmadz"
"10"	"tBodyAcc-max()-X"	"tbodyaccmaxx"
"11"	"tBodyAcc-max()-Y"	"tbodyaccmaxy"
"12"	"tBodyAcc-max()-Z"	"tbodyaccmaxz"
"13"	"tBodyAcc-min()-X"	"tbodyaccminx"
"14"	"tBodyAcc-min()-Y"	"tbodyaccminy"
"15"	"tBodyAcc-min()-Z"	"tbodyaccminz"
"16"	"tBodyAcc-sma()"	"tbodyaccsma"
"17"	"tBodyAcc-energy()-X"	"tbodyaccenergyx"
"18"	"tBodyAcc-energy()-Y"	"tbodyaccenergyy"
"19"	"tBodyAcc-energy()-Z"	"tbodyaccenergyz"
"20"	"tBodyAcc-iqr()-X"	"tbodyacciqrx"
"21"	"tBodyAcc-iqr()-Y"	"tbodyacciqry"
"22"	"tBodyAcc-iqr()-Z"	"tbodyacciqrz"
"23"	"tBodyAcc-entropy()-X"	"tbodyaccentropyx"
"24"	"tBodyAcc-entropy()-Y"	"tbodyaccentropyy"
"25"	"tBodyAcc-entropy()-Z"	"tbodyaccentropyz"
"26"	"tBodyAcc-arCoeff()-X,1"	"tbodyaccarcoeffx"
"27"	"tBodyAcc-arCoeff()-X,2"	"tbodyaccarcoeffx"
"28"	"tBodyAcc-arCoeff()-X,3"	"tbodyaccarcoeffx"
"29"	"tBodyAcc-arCoeff()-X,4"	"tbodyaccarcoeffx"
"30"	"tBodyAcc-arCoeff()-Y,1"	"tbodyaccarcoeffy"
"31"	"tBodyAcc-arCoeff()-Y,2"	"tbodyaccarcoeffy"
"32"	"tBodyAcc-arCoeff()-Y,3"	"tbodyaccarcoeffy"
"33"	"tBodyAcc-arCoeff()-Y,4"	"tbodyaccarcoeffy"
"34"	"tBodyAcc-arCoeff()-Z,1"	"tbodyaccarcoeffz"
"35"	"tBodyAcc-arCoeff()-Z,2"	"tbodyaccarcoeffz"
"36"	"tBodyAcc-arCoeff()-Z,3"	"tbodyaccarcoeffz"
"37"	"tBodyAcc-arCoeff()-Z,4"	"tbodyaccarcoeffz"
"38"	"tBodyAcc-correlation()-X,Y"	"tbodyacccorrelationxy"
"39"	"tBodyAcc-correlation()-X,Z"	"tbodyacccorrelationxz"
"40"	"tBodyAcc-correlation()-Y,Z"	"tbodyacccorrelationyz"
"41"	"tGravityAcc-mean()-X"	"tgravityaccmeanx"
"42"	"tGravityAcc-mean()-Y"	"tgravityaccmeany"
"43"	"tGravityAcc-mean()-Z"	"tgravityaccmeanz"
"44"	"tGravityAcc-std()-X"	"tgravityaccstdx"
"45"	"tGravityAcc-std()-Y"	"tgravityaccstdy"
"46"	"tGravityAcc-std()-Z"	"tgravityaccstdz"
"47"	"tGravityAcc-mad()-X"	"tgravityaccmadx"
"48"	"tGravityAcc-mad()-Y"	"tgravityaccmady"
"49"	"tGravityAcc-mad()-Z"	"tgravityaccmadz"
"50"	"tGravityAcc-max()-X"	"tgravityaccmaxx"
"51"	"tGravityAcc-max()-Y"	"tgravityaccmaxy"
